StudentID,Q1_Favorite_Subjects,Q2_Enjoyed_Activities,Q3_Strongest_Skills,Q4_Work_Style,Q5_Workplace_Preference,Q6_Exam_Readiness,Q7_Location_Preference,Q8_Career_Values,Q9_LongTerm_Goal,Q10_Academic_Background,Recommended_Course,Recommended_Career,Recommended_College_Type,Recommendation_Score
S00271,"Design, Political Science","Solving Puzzles, Reading","Design Thinking, Presentation",Both,Creative Studio,Maybe,Flexible,Creativity & Freedom,Designer,Commerce-57%,BA History,Researcher/Archivist,Tier-2,0.75
S00272,"Maths, Chemistry","Designing, Public Speaking","Financial Analysis, Leadership",Theoretical,NGO,Maybe,Flexible,Balanced,Scientist,Commerce-79%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.91
S00273,"Physics, Computer Science","Coding, Reading","Communication, Problem Solving",Both,Corporate Office,Yes,Abroad,Job Security,Teacher,Commerce-54%,Diploma in IT,IT Support/Technician,Tier-2,0.74
S00274,"Computer Science, Physics","Research, Solving Puzzles","Research, Creativity",Both,Outdoors,Maybe,Flexible,Balanced,Scientist,Science-94%,B.Tech Mechanical,Mechanical Engineer,Tier-2,0.98
S00275,"Biology, Computer Science","Solving Puzzles, Coding","Financial Analysis, Analysis",Both,Corporate Office,Yes,Flexible,Creativity & Freedom,Artist,Commerce-94%,BHMS,Homeopathy Doctor,Tier-1,0.99
S00276,"Fine Arts, Political Science","Drawing, Research","Leadership, Writing",Theoretical,Research Lab,Maybe,India,Job Security,Entrepreneur,Commerce-52%,BFA,Artist/Designer,Tier-2,0.67
S00277,"Maths, Chemistry","Designing, Organizing Events","Programming, Problem Solving",Theoretical,NGO,Maybe,India,Job Security,Entrepreneur,Arts-78%,B.Tech CSE,Software Engineer,Tier-2,0.82
S00278,"Psychology, Fine Arts","Experiments, Drawing","Design Thinking, Programming",Theoretical,Startup,Maybe,Abroad,Balanced,Artist,Vocational-73%,BA Economics,Economist/Analyst,Tier-2,0.87
S00279,"Computer Science, Biology","Solving Puzzles, Designing","Research, Teamwork",Both,Government Office,No,Abroad,Creativity & Freedom,Artist,Vocational-79%,B.Tech IT,IT Engineer,Tier-2,0.87
S00280,"Economics, Computer Science","Research, Experiments","Leadership, Financial Analysis",Both,Outdoors,Yes,Flexible,Creativity & Freedom,Scientist,Arts-47%,BBA (Finance),Investment Analyst,Tier-2,0.66
S00281,"Economics, Accountancy","Public Speaking, Organizing Events","Programming, Research",Theoretical,Corporate Office,No,Flexible,Job Security,Lawyer,Commerce-51%,BBA,Business Analyst,Tier-2,0.75
S00282,"Psychology, History","Sports, Drawing","Leadership, Financial Analysis",Both,Outdoors,Maybe,Abroad,Job Security,Artist,Commerce-89%,BFA,Artist/Designer,Tier-2,0.95
S00283,"Political Science, History","Experiments, Research","Analysis, Problem Solving",Practical,Startup,Yes,India,Creativity & Freedom,Designer,Science-64%,BA Political Science,Public Policy Analyst,Tier-2,0.77
S00284,"Biology, Computer Science","Sports, Coding","Teamwork, Financial Analysis",Practical,Corporate Office,Maybe,Flexible,Balanced,Engineer,Arts-77%,B.Tech CSE,Software Engineer,Tier-2,0.88
S00285,"Computer Science, Physics","Organizing Events, Coding","Financial Analysis, Writing",Both,Startup,No,Abroad,Creativity & Freedom,Scientist,Arts-41%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.61
S00286,"Biology, Maths","Helping Others, Research","Financial Analysis, Programming",Both,Government Office,Yes,Flexible,Balanced,Entrepreneur,Science-50%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.7
S00287,"Fine Arts, Political Science","Research, Reading","Presentation, Analysis",Practical,Classroom,Maybe,Flexible,Job Security,Entrepreneur,Science-89%,BA Political Science,Public Policy Analyst,Tier-2,0.9
S00288,"Computer Science, Physics","Experiments, Sports","Programming, Creativity",Theoretical,Startup,No,India,Job Security,Data Scientist,Science-71%,B.Tech CSE,Software Engineer,Tier-2,0.81
S00289,"Business Studies, Economics","Helping Others, Organizing Events","Creativity, Leadership",Theoretical,NGO,No,Abroad,Balanced,Manager,Science-87%,BBA,Business Analyst,Tier-1,0.93
S00290,"Maths, Biology","Designing, Coding","Financial Analysis, Research",Practical,Classroom,No,Abroad,Job Security,Manager,Commerce-75%,B.Tech Civil,Civil Engineer,Tier-2,0.84
S00291,"Design, History","Solving Puzzles, Sports","Design Thinking, Creativity",Theoretical,Research Lab,Maybe,India,Creativity & Freedom,Manager,Science-54%,BA Economics,Economist/Analyst,Tier-2,0.76
S00292,"Computer Science, Maths","Reading, Experiments","Problem Solving, Programming",Theoretical,NGO,Maybe,India,Creativity & Freedom,Scientist,Science-87%,B.Tech CSE,Software Engineer,Tier-2,0.9
S00293,"Computer Science, Physics","Coding, Designing","Creativity, Problem Solving",Both,Outdoors,Maybe,Flexible,Job Security,Designer,Science-60%,B.Tech CSE,Software Engineer,Tier-2,0.73
S00294,"Political Science, Design","Designing, Coding","Research, Design Thinking",Practical,Startup,No,Abroad,Job Security,Doctor,Commerce-78%,BA Political Science,Public Policy Analyst,Tier-2,0.86
S00295,"History, Psychology","Sports, Designing","Creativity, Presentation",Both,Creative Studio,Maybe,Abroad,Balanced,Designer,Commerce-69%,BFA,Artist/Designer,Tier-2,0.8
S00296,"Economics, Accountancy","Reading, Debating","Programming, Teamwork",Theoretical,Government Office,No,Abroad,Balanced,Doctor,Commerce-53%,BBA (Finance),Investment Analyst,Tier-2,0.68
S00297,"Maths, Chemistry","Helping Others, Solving Puzzles","Communication, Analysis",Both,Startup,Maybe,India,Creativity & Freedom,Lawyer,Commerce-75%,B.Tech Civil,Civil Engineer,Tier-2,0.85
S00298,"Maths, Economics","Experiments, Drawing","Communication, Design Thinking",Both,Research Lab,Yes,Flexible,Balanced,Doctor,Arts-49%,B.Com,Accountant,Tier-2,0.66
S00299,"Psychology, Design","Organizing Events, Reading","Financial Analysis, Problem Solving",Both,Creative Studio,Yes,India,Creativity & Freedom,Data Scientist,Vocational-70%,BA History,Researcher/Archivist,Tier-2,0.79
S00300,"Chemistry, Computer Science","Public Speaking, Solving Puzzles","Presentation, Financial Analysis",Theoretical,NGO,Maybe,Flexible,Job Security,Artist,Science-58%,Diploma in IT,IT Support/Technician,Tier-2,0.7
S00301,"Computer Science, Maths","Helping Others, Organizing Events","Creativity, Communication",Theoretical,Corporate Office,Maybe,Flexible,Job Security,Engineer,Science-58%,Diploma in IT,IT Support/Technician,Tier-2,0.79
S00302,"Design, Psychology","Designing, Designing","Problem Solving, Presentation",Both,Classroom,Yes,Abroad,Creativity & Freedom,Lawyer,Commerce-92%,BA Psychology,Counselor/HR,Tier-2,0.91
S00303,"Biology, Chemistry","Drawing, Helping Others","Design Thinking, Programming",Theoretical,Creative Studio,Yes,India,Balanced,Doctor,Commerce-52%,Diploma in IT,IT Support/Technician,Tier-2,0.7
S00304,"Maths, Biology","Research, Drawing","Communication, Teamwork",Both,Creative Studio,No,Flexible,Creativity & Freedom,Data Scientist,Science-67%,B.Tech Civil,Civil Engineer,Tier-2,0.83
S00305,"Computer Science, Biology","Designing, Research","Design Thinking, Programming",Theoretical,Government Office,Maybe,Abroad,Balanced,Entrepreneur,Arts-82%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00306,"Chemistry, Physics","Reading, Public Speaking","Teamwork, Analysis",Both,Corporate Office,Yes,Abroad,Balanced,Doctor,Arts-92%,B.Tech ECE,Embedded Systems Engineer,Tier-1,0.95
S00307,"Economics, Computer Science","Public Speaking, Experiments","Analysis, Creativity",Both,Corporate Office,Maybe,Abroad,Creativity & Freedom,Data Scientist,Commerce-63%,B.Tech IT,IT Engineer,Tier-2,0.73
S00308,"Political Science, Design","Experiments, Coding","Teamwork, Design Thinking",Practical,Corporate Office,Maybe,Flexible,Balanced,Artist,Commerce-88%,BA Economics,Economist/Analyst,Tier-2,0.91
S00309,"Business Studies, Economics","Helping Others, Organizing Events","Teamwork, Analysis",Both,Classroom,No,Flexible,Job Security,Designer,Science-95%,B.Com,Accountant,Tier-1,0.99
S00310,"Computer Science, Accountancy","Research, Public Speaking","Leadership, Design Thinking",Practical,NGO,No,Flexible,Job Security,Teacher,Science-82%,B.Tech CSE,Software Engineer,Tier-2,0.9
S00311,"Accountancy, Economics","Organizing Events, Public Speaking","Writing, Programming",Both,Creative Studio,Maybe,Abroad,Creativity & Freedom,Data Scientist,Science-65%,B.Com (Hons),Financial Analyst,Tier-2,0.84
S00312,"Biology, Physics","Research, Drawing","Writing, Creativity",Theoretical,Outdoors,Maybe,Flexible,Job Security,Lawyer,Science-72%,B.Tech IT,IT Engineer,Tier-2,0.84
S00313,"Accountancy, Business Studies","Helping Others, Drawing","Teamwork, Financial Analysis",Both,Government Office,Yes,Flexible,Job Security,Civil Servant,Science-63%,B.Com (Hons),Financial Analyst,Tier-2,0.75
S00314,"Business Studies, Maths","Reading, Experiments","Presentation, Leadership",Theoretical,Outdoors,Yes,India,Job Security,Data Scientist,Science-56%,B.Com,Accountant,Tier-2,0.78
S00315,"Maths, Economics","Public Speaking, Drawing","Problem Solving, Research",Theoretical,Government Office,No,Flexible,Creativity & Freedom,Civil Servant,Science-98%,B.Tech CSE,Software Engineer,Tier-2,0.97
S00316,"Computer Science, Chemistry","Drawing, Public Speaking","Programming, Teamwork",Theoretical,Corporate Office,Maybe,Abroad,Creativity & Freedom,Manager,Arts-69%,B.Tech CSE,Software Engineer,Tier-2,0.83
S00317,"Physics, Computer Science","Reading, Research","Design Thinking, Creativity",Theoretical,Government Office,Maybe,Abroad,Job Security,Designer,Science-67%,B.Tech Civil,Civil Engineer,Tier-2,0.85
S00318,"Chemistry, Biology","Reading, Debating","Teamwork, Analysis",Theoretical,Classroom,No,Abroad,Job Security,Data Scientist,Science-86%,Diploma in Design,Junior Designer,Tier-2,0.95
S00319,"Business Studies, Maths","Coding, Reading","Communication, Programming",Both,Research Lab,No,India,Job Security,Scientist,Science-90%,B.Tech CSE,Software Engineer,Tier-2,0.94
S00320,"Maths, Accountancy","Public Speaking, Public Speaking","Problem Solving, Design Thinking",Practical,Classroom,Yes,Flexible,Job Security,Doctor,Science-66%,B.Tech CSE,Software Engineer,Tier-2,0.79
S00321,"Maths, Accountancy","Public Speaking, Research","Analysis, Programming",Both,Creative Studio,No,India,Creativity & Freedom,Engineer,Science-93%,B.Tech CSE,Software Engineer,Tier-2,0.93
S00322,"Computer Science, Business Studies","Organizing Events, Research","Analysis, Financial Analysis",Both,NGO,Maybe,Abroad,Job Security,Scientist,Commerce-74%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.88
S00323,"Accountancy, Maths","Reading, Coding","Problem Solving, Creativity",Practical,Research Lab,No,India,Creativity & Freedom,Lawyer,Commerce-90%,B.Tech CSE,Software Engineer,Tier-2,0.95
S00324,"Biology, Maths","Experiments, Reading","Communication, Analysis",Practical,Research Lab,Maybe,India,Balanced,Teacher,Arts-84%,B.Tech CSE,Software Engineer,Tier-2,0.88
S00325,"Physics, Computer Science","Research, Public Speaking","Problem Solving, Analysis",Theoretical,Startup,Yes,Abroad,Balanced,Entrepreneur,Science-74%,B.Tech CSE,Software Engineer,Tier-2,0.82
S00326,"Maths, Biology","Helping Others, Solving Puzzles","Programming, Problem Solving",Practical,Corporate Office,Yes,Flexible,Creativity & Freedom,Lawyer,Arts-69%,B.Tech CSE,Software Engineer,Tier-2,0.82
S00327,"Biology, Chemistry","Research, Public Speaking","Communication, Design Thinking",Both,NGO,Maybe,Flexible,Balanced,Data Scientist,Science-90%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.98
S00328,"Chemistry, Physics","Experiments, Helping Others","Analysis, Teamwork",Theoretical,Research Lab,No,India,Job Security,Designer,Arts-48%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.67
S00329,"Maths, Computer Science","Organizing Events, Coding","Programming, Teamwork",Theoretical,Outdoors,Yes,Flexible,Creativity & Freedom,Artist,Science-85%,B.Tech CSE,Software Engineer,Tier-1,0.88
S00330,"Maths, Computer Science","Experiments, Helping Others","Creativity, Teamwork",Both,Outdoors,Maybe,Flexible,Balanced,Manager,Science-91%,B.Tech IT,IT Engineer,Tier-2,0.98
S00331,"Physics, Chemistry","Helping Others, Research","Creativity, Financial Analysis",Theoretical,NGO,No,Flexible,Balanced,Civil Servant,Science-51%,Diploma in Design,Junior Designer,Tier-2,0.66
S00332,"Business Studies, Economics","Helping Others, Reading","Communication, Research",Both,Corporate Office,Yes,India,Job Security,Doctor,Science-71%,BBA (Finance),Investment Analyst,Tier-1,0.81
S00333,"Fine Arts, Design","Research, Drawing","Problem Solving, Analysis",Practical,Research Lab,Yes,Abroad,Creativity & Freedom,Engineer,Commerce-56%,BA History,Researcher/Archivist,Tier-2,0.78
S00334,"Biology, Physics","Debating, Coding","Presentation, Leadership",Theoretical,NGO,Yes,Flexible,Job Security,Artist,Science-56%,Diploma in Design,Junior Designer,Tier-2,0.73
S00335,"Accountancy, Computer Science","Designing, Drawing","Creativity, Leadership",Theoretical,NGO,Maybe,Abroad,Job Security,Lawyer,Arts-82%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.94
S00336,"Biology, Maths","Coding, Solving Puzzles","Programming, Writing",Both,Startup,No,India,Job Security,Doctor,Commerce-89%,B.Tech CSE,Software Engineer,Tier-2,0.93
S00337,"Accountancy, Economics","Debating, Solving Puzzles","Research, Creativity",Both,Government Office,Maybe,India,Job Security,Lawyer,Commerce-89%,B.Com,Accountant,Tier-1,0.9
S00338,"Computer Science, Maths","Experiments, Research","Leadership, Problem Solving",Both,Classroom,No,Flexible,Job Security,Teacher,Arts-71%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00339,"Computer Science, Maths","Reading, Organizing Events","Communication, Programming",Theoretical,Government Office,Maybe,Abroad,Creativity & Freedom,Data Scientist,Arts-75%,BFA,Artist/Designer,Tier-2,0.85
S00340,"Maths, Computer Science","Experiments, Coding","Programming, Financial Analysis",Both,Classroom,Maybe,India,Job Security,Data Scientist,Arts-89%,B.Tech CSE,Software Engineer,Tier-2,0.95
S00341,"Physics, Biology","Reading, Public Speaking","Financial Analysis, Research",Both,Research Lab,Maybe,Abroad,Creativity & Freedom,Scientist,Commerce-52%,Diploma in IT,IT Support/Technician,Tier-2,0.71
S00342,"Chemistry, Computer Science","Drawing, Debating","Creativity, Research",Practical,Startup,Yes,Flexible,Balanced,Scientist,Commerce-78%,B.Tech IT,IT Engineer,Tier-2,0.89
S00343,"Maths, Chemistry","Solving Puzzles, Coding","Analysis, Leadership",Both,NGO,Yes,Abroad,Balanced,Doctor,Science-97%,B.Tech Civil,Civil Engineer,Tier-1,0.99
S00344,"History, Fine Arts","Public Speaking, Coding","Communication, Design Thinking",Practical,Outdoors,Maybe,India,Job Security,Artist,Commerce-57%,BA History,Researcher/Archivist,Tier-2,0.74
S00345,"Chemistry, Biology","Research, Drawing","Financial Analysis, Design Thinking",Theoretical,NGO,Maybe,Flexible,Creativity & Freedom,Engineer,Science-61%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.77
S00346,"Computer Science, Maths","Research, Experiments","Analysis, Programming",Theoretical,Government Office,No,Flexible,Creativity & Freedom,Lawyer,Commerce-81%,B.Tech CSE,Software Engineer,Tier-2,0.87
S00347,"Accountancy, Computer Science","Experiments, Reading","Teamwork, Problem Solving",Both,Corporate Office,No,Flexible,Job Security,Designer,Science-69%,B.Tech CSE,Software Engineer,Tier-2,0.76
S00348,"Political Science, Fine Arts","Coding, Drawing","Programming, Writing",Practical,Corporate Office,No,Abroad,Job Security,Entrepreneur,Science-87%,BA History,Researcher/Archivist,Tier-2,0.9
S00349,"History, Design","Organizing Events, Debating","Presentation, Creativity",Both,Government Office,No,India,Creativity & Freedom,Data Scientist,Arts-46%,BA Psychology,Counselor/HR,Tier-2,0.69
S00350,"Computer Science, Biology","Solving Puzzles, Coding","Problem Solving, Programming",Theoretical,Government Office,No,Abroad,Job Security,Artist,Commerce-83%,B.Tech CSE,Software Engineer,Tier-2,0.94
S00351,"Maths, Economics","Organizing Events, Organizing Events","Problem Solving, Analysis",Both,Research Lab,No,Flexible,Balanced,Artist,Science-93%,B.Tech CSE,Software Engineer,Tier-2,0.98
S00352,"Biology, Physics","Experiments, Reading","Writing, Teamwork",Practical,Research Lab,No,India,Creativity & Freedom,Data Scientist,Commerce-80%,B.Tech Civil,Civil Engineer,Tier-2,0.86
S00353,"Biology, Chemistry","Solving Puzzles, Experiments","Programming, Leadership",Theoretical,Classroom,Maybe,Flexible,Job Security,Designer,Commerce-92%,Diploma in Design,Junior Designer,Tier-2,0.93
S00354,"Biology, Maths","Solving Puzzles, Drawing","Financial Analysis, Teamwork",Theoretical,Government Office,No,India,Creativity & Freedom,Lawyer,Commerce-46%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.64
S00355,"Biology, Chemistry","Experiments, Coding","Analysis, Problem Solving",Practical,Outdoors,Maybe,Abroad,Job Security,Engineer,Science-53%,Diploma in Design,Junior Designer,Tier-2,0.76
S00356,"Fine Arts, History","Designing, Research","Design Thinking, Creativity",Theoretical,NGO,No,India,Creativity & Freedom,Artist,Commerce-58%,BA History,Researcher/Archivist,Tier-2,0.75
S00357,"Psychology, Design","Organizing Events, Research","Communication, Presentation",Both,Corporate Office,No,Flexible,Balanced,Designer,Science-60%,BA Economics,Economist/Analyst,Tier-2,0.74
S00358,"Psychology, Fine Arts","Coding, Experiments","Problem Solving, Communication",Theoretical,Creative Studio,Maybe,Flexible,Creativity & Freedom,Engineer,Science-91%,BFA,Artist/Designer,Tier-2,0.92
S00359,"Physics, Maths","Research, Solving Puzzles","Design Thinking, Programming",Practical,Research Lab,Yes,Flexible,Creativity & Freedom,Designer,Arts-41%,Diploma in IT,IT Support/Technician,Tier-2,0.62
S00360,"Accountancy, Maths","Coding, Designing","Problem Solving, Presentation",Both,Government Office,No,Flexible,Creativity & Freedom,Artist,Vocational-72%,B.Tech CSE,Software Engineer,Tier-2,0.79
S00361,"Biology, Physics","Public Speaking, Debating","Communication, Analysis",Theoretical,Research Lab,Yes,Flexible,Creativity & Freedom,Designer,Vocational-79%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.88
S00362,"Maths, Computer Science","Experiments, Public Speaking","Communication, Leadership",Both,Research Lab,Maybe,Flexible,Balanced,Artist,Arts-59%,Diploma in Design,Junior Designer,Tier-2,0.75
S00363,"Political Science, Psychology","Designing, Drawing","Programming, Creativity",Both,Startup,Yes,Abroad,Job Security,Doctor,Arts-66%,BFA,Artist/Designer,Tier-2,0.78
S00364,"Accountancy, Business Studies","Organizing Events, Debating","Creativity, Communication",Practical,Corporate Office,Maybe,Flexible,Creativity & Freedom,Data Scientist,Commerce-59%,BBA,Business Analyst,Tier-2,0.73
S00365,"Physics, Biology","Helping Others, Public Speaking","Design Thinking, Research",Both,Government Office,Yes,Abroad,Creativity & Freedom,Civil Servant,Science-62%,BFA,Artist/Designer,Tier-2,0.8
S00366,"Maths, Biology","Experiments, Research","Financial Analysis, Leadership",Practical,Startup,Yes,Abroad,Balanced,Civil Servant,Commerce-74%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.84
S00367,"Psychology, Design","Research, Designing","Teamwork, Design Thinking",Both,Corporate Office,Maybe,India,Creativity & Freedom,Civil Servant,Arts-42%,BA History,Researcher/Archivist,Tier-2,0.65
S00368,"Physics, Biology","Drawing, Debating","Writing, Research",Theoretical,Creative Studio,No,Abroad,Job Security,Scientist,Science-53%,Diploma in Design,Junior Designer,Tier-2,0.71
S00369,"Economics, Computer Science","Designing, Public Speaking","Writing, Programming",Theoretical,Government Office,No,India,Job Security,Civil Servant,Commerce-90%,B.Tech CSE,Software Engineer,Tier-2,0.98
S00370,"History, Fine Arts","Designing, Research","Financial Analysis, Presentation",Practical,Startup,Yes,India,Balanced,Civil Servant,Commerce-50%,BA Psychology,Counselor/HR,Tier-2,0.72
S00371,"Computer Science, Business Studies","Coding, Public Speaking","Teamwork, Problem Solving",Practical,Government Office,Maybe,Flexible,Job Security,Entrepreneur,Arts-51%,B.Com,Accountant,Tier-2,0.7
S00372,"Biology, Maths","Designing, Drawing","Writing, Teamwork",Practical,Creative Studio,Yes,Abroad,Creativity & Freedom,Civil Servant,Commerce-45%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.64
S00373,"Maths, Computer Science","Solving Puzzles, Experiments","Creativity, Design Thinking",Both,Corporate Office,Yes,Flexible,Creativity & Freedom,Data Scientist,Commerce-58%,Diploma in IT,IT Support/Technician,Tier-2,0.72
S00374,"Maths, Physics","Helping Others, Solving Puzzles","Problem Solving, Financial Analysis",Both,Creative Studio,No,India,Job Security,Engineer,Science-61%,B.Tech CSE,Software Engineer,Tier-2,0.73
S00375,"Computer Science, Chemistry","Experiments, Research","Design Thinking, Analysis",Practical,Startup,No,Abroad,Creativity & Freedom,Scientist,Arts-88%,B.Tech Civil,Civil Engineer,Tier-2,0.96
S00376,"Biology, Chemistry","Drawing, Helping Others","Analysis, Programming",Theoretical,Outdoors,Maybe,India,Balanced,Doctor,Science-96%,Diploma in IT,IT Support/Technician,Tier-2,0.97
S00377,"Accountancy, Maths","Sports, Public Speaking","Programming, Design Thinking",Both,Government Office,Yes,Flexible,Balanced,Civil Servant,Commerce-85%,B.Tech CSE,Software Engineer,Tier-1,0.91
S00378,"Psychology, Political Science","Research, Helping Others","Leadership, Problem Solving",Practical,Corporate Office,No,Flexible,Job Security,Artist,Arts-66%,BFA,Artist/Designer,Tier-2,0.75
S00379,"Chemistry, Physics","Reading, Research","Writing, Presentation",Practical,Creative Studio,No,Flexible,Balanced,Lawyer,Arts-47%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.67
S00380,"Computer Science, Economics","Designing, Reading","Financial Analysis, Creativity",Both,NGO,No,India,Balanced,Entrepreneur,Science-90%,B.Tech Civil,Civil Engineer,Tier-2,0.98
S00381,"Accountancy, Maths","Solving Puzzles, Drawing","Problem Solving, Programming",Theoretical,Government Office,Maybe,Flexible,Job Security,Artist,Commerce-66%,B.Tech CSE,Software Engineer,Tier-2,0.83
S00382,"Fine Arts, History","Solving Puzzles, Helping Others","Creativity, Problem Solving",Theoretical,Classroom,Maybe,Flexible,Job Security,Data Scientist,Commerce-56%,BA Psychology,Counselor/HR,Tier-2,0.7
S00383,"Fine Arts, Psychology","Research, Coding","Programming, Problem Solving",Practical,NGO,Yes,Abroad,Creativity & Freedom,Teacher,Science-69%,BA History,Researcher/Archivist,Tier-2,0.78
S00384,"Political Science, History","Experiments, Public Speaking","Problem Solving, Research",Both,Research Lab,Yes,Abroad,Creativity & Freedom,Designer,Science-70%,BA History,Researcher/Archivist,Tier-2,0.85
S00385,"Computer Science, Chemistry","Reading, Research","Problem Solving, Research",Theoretical,Startup,Yes,Abroad,Job Security,Manager,Arts-45%,Polytechnic - Mechanical,Technician - Mechanical,Tier-2,0.67
S00386,"Computer Science, Maths","Coding, Organizing Events","Programming, Writing",Both,Outdoors,No,India,Job Security,Teacher,Science-70%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00387,"Accountancy, Business Studies","Solving Puzzles, Helping Others","Creativity, Problem Solving",Both,Startup,Yes,Flexible,Creativity & Freedom,Designer,Science-59%,B.Com (Hons),Financial Analyst,Tier-2,0.76
S00388,"Maths, Computer Science","Experiments, Coding","Communication, Problem Solving",Theoretical,Corporate Office,Yes,Abroad,Job Security,Engineer,Science-61%,B.Tech CSE,Software Engineer,Tier-2,0.79
S00389,"Design, Fine Arts","Helping Others, Designing","Creativity, Leadership",Both,Startup,No,Flexible,Job Security,Engineer,Arts-84%,BFA,Artist/Designer,Tier-2,0.86
S00390,"Biology, Computer Science","Experiments, Debating","Communication, Problem Solving",Both,Creative Studio,No,Abroad,Job Security,Manager,Science-70%,B.Tech CSE,Software Engineer,Tier-2,0.82
S00391,"Biology, Physics","Research, Experiments","Research, Communication",Theoretical,Government Office,Maybe,Flexible,Job Security,Designer,Science-95%,B.Tech CSE,Software Engineer,Tier-2,0.95
S00392,"Accountancy, Maths","Coding, Solving Puzzles","Leadership, Design Thinking",Practical,Research Lab,No,Abroad,Job Security,Lawyer,Science-94%,B.Tech IT,IT Engineer,Tier-2,0.96
S00393,"Psychology, Fine Arts","Public Speaking, Research","Leadership, Communication",Both,Startup,Maybe,Flexible,Balanced,Civil Servant,Science-88%,BFA,Artist/Designer,Tier-2,0.91
S00394,"Biology, Chemistry","Helping Others, Reading","Creativity, Design Thinking",Practical,Classroom,No,Abroad,Balanced,Manager,Science-63%,Diploma in Design,Junior Designer,Tier-2,0.82
S00395,"History, Political Science","Sports, Solving Puzzles","Research, Programming",Theoretical,Classroom,Maybe,Flexible,Creativity & Freedom,Artist,Science-70%,BA Political Science,Public Policy Analyst,Tier-2,0.83
S00396,"Fine Arts, Design","Research, Designing","Creativity, Design Thinking",Practical,Classroom,Yes,Abroad,Job Security,Lawyer,Arts-43%,BA Economics,Economist/Analyst,Tier-2,0.68
S00397,"Fine Arts, History","Designing, Helping Others","Creativity, Problem Solving",Practical,Classroom,Maybe,Flexible,Creativity & Freedom,Manager,Science-74%,BFA,Artist/Designer,Tier-2,0.83
S00398,"Business Studies, Maths","Helping Others, Reading","Programming, Teamwork",Theoretical,Classroom,Yes,Abroad,Balanced,Entrepreneur,Science-54%,B.Com,Accountant,Tier-2,0.69
S00399,"Design, Political Science","Drawing, Solving Puzzles","Financial Analysis, Design Thinking",Theoretical,NGO,Maybe,Flexible,Creativity & Freedom,Data Scientist,Science-82%,BFA,Artist/Designer,Tier-2,0.9
S00400,"Maths, Chemistry","Designing, Reading","Problem Solving, Design Thinking",Both,Outdoors,Maybe,Flexible,Creativity & Freedom,Scientist,Arts-76%,B.Tech CSE,Software Engineer,Tier-2,0.9
S00401,"Accountancy, Economics","Organizing Events, Experiments","Presentation, Creativity",Practical,Creative Studio,No,Flexible,Job Security,Designer,Arts-45%,BBA,Business Analyst,Tier-2,0.67
S00402,"Economics, Accountancy","Organizing Events, Coding","Analysis, Analysis",Both,Corporate Office,No,Abroad,Balanced,Civil Servant,Commerce-66%,BBA (Finance),Investment Analyst,Tier-2,0.78
S00403,"Fine Arts, Psychology","Solving Puzzles, Coding","Design Thinking, Programming",Practical,NGO,Maybe,India,Balanced,Doctor,Commerce-63%,BA Psychology,Counselor/HR,Tier-2,0.73
S00404,"Chemistry, Physics","Public Speaking, Helping Others","Communication, Design Thinking",Theoretical,Creative Studio,No,India,Balanced,Engineer,Commerce-82%,B.Tech ECE,Embedded Systems Engineer,Tier-2,0.91
S00405,"Chemistry, Maths","Experiments, Research","Communication, Programming",Both,Corporate Office,No,India,Job Security,Data Scientist,Arts-49%,Polytechnic - Electrical,Technician - Electrical,Tier-2,0.72
S00406,"Biology, Chemistry","Sports, Experiments","Presentation, Financial Analysis",Practical,Outdoors,Maybe,Flexible,Creativity & Freedom,Doctor,Commerce-93%,Diploma in IT,IT Support/Technician,Tier-2,0.91
S00407,"Biology, Maths","Research, Research","Programming, Programming",Practical,Classroom,Maybe,Flexible,Creativity & Freedom,Civil Servant,Science-83%,B.Tech CSE,Software Engineer,Tier-2,0.85
S00408,"Design, Psychology","Sports, Designing","Programming, Financial Analysis",Practical,Startup,Maybe,Flexible,Creativity & Freedom,Scientist,Commerce-86%,BA Political Science,Public Policy Analyst,Tier-2,0.9
S00409,"Physics, Maths","Coding, Experiments","Programming, Financial Analysis",Both,Outdoors,Maybe,Flexible,Balanced,Artist,Commerce-88%,B.Tech CSE,Software Engineer,Tier-2,0.95
S00410,"Computer Science, Physics","Coding, Solving Puzzles","Creativity, Problem Solving",Theoretical,Startup,Maybe,India,Balanced,Civil Servant,Science-96%,B.Tech CSE,Software Engineer,Tier-2,0.95
